央视频道,#genre#
CCTV-1综合,http://192.168.0.220:4022/rtp/239.20.0.192:2182
CCTV-1综合,http://192.168.0.220:4022/rtp/239.20.0.96:3016
CCTV-1综合,http://192.168.0.220:4022/rtp/239.20.0.104:2006
CCTV-2财经,http://192.168.0.220:4022/rtp/239.20.0.176:2150
CCTV-2财经,http://192.168.0.220:4022/rtp/239.20.0.197:2192
CCTV-3综艺,http://192.168.0.220:4022/rtp/239.20.0.27:3296
CCTV-3综艺,http://192.168.0.220:4022/rtp/239.20.0.28:3292
CCTV-4中文国际,http://192.168.0.220:4022/rtp/239.20.0.177:2152
CCTV-4中文国际,http://192.168.0.220:4022/rtp/239.20.0.16:3340
CCTV-4中文国际欧洲,http://192.168.0.220:4022/rtp/239.21.0.107:3768 
CCTV-4中文国际美洲,http://192.168.0.220:4022/rtp/239.21.0.108:3772
CCTV-5体育,http://192.168.0.220:4022/rtp/239.20.0.30:3284
CCTV-5体育,http://192.168.0.220:4022/rtp/239.20.0.26:3300
CCTV5+体育赛事,http://192.168.0.220:4022/rtp/239.20.0.203:2204
CCTV5+体育赛事,http://192.168.0.220:4022/rtp/239.20.0.208:2214
CCTV-6电影,http://192.168.0.220:4022/rtp/239.20.0.25:3304
CCTV-6电影,http://192.168.0.220:4022/rtp/239.20.0.29:3288
CCTV-7国防军事,http://192.168.0.220:4022/rtp/239.20.0.178:2154
CCTV-7国防军事,http://192.168.0.220:4022/rtp/239.20.0.198:2194
CCTV-8电视剧,http://192.168.0.220:4022/rtp/239.20.0.24:3308
CCTV-8电视剧,http://192.168.0.220:4022/rtp/239.20.0.31:3280
CCTV-9纪录,http://192.168.0.220:4022/rtp/239.20.0.179:2156
CCTV-9记录,http://192.168.0.220:4022/rtp/239.20.0.199:2196
CCTV-10科教,http://192.168.0.220:4022/rtp/239.20.0.180:2158
CCTV-10科教,http://192.168.0.220:4022/rtp/239.20.0.200:2198
CCTV-11戏曲,http://192.168.0.220:4022/rtp/239.20.0.181:2160
CCTV-11戏曲,http://192.168.0.220:4022/rtp/239.21.0.35:3480
CCTV-12社会与法,http://192.168.0.220:4022/rtp/239.20.0.182:2162
CCTV-12社会与法,http://192.168.0.220:4022/rtp/239.20.0.201:2200
CCTV-13新闻,http://192.168.0.220:4022/rtp/239.20.0.183:2164
CCTV-13新闻,http://192.168.0.220:4022/rtp/239.21.0.88:3692
CCTV-15音乐.http://192.168.0.220:4022/rtp/239.20.0.185:2168
CCTV-15音乐,http://192.168.0.220:4022/rtp/239.21.0.36:3484
CCTV-16奥林匹克,http://192.168.0.220:4022/rtp/239.21.0.116:3808
CCTV-17农业,http://192.168.0.220:4022/rtp/239.20.0.8:3372
CCTV-17农业,http://192.168.0.220:4022/rtp/239.20.0.7:3376
CETV-2,http://192.168.0.220:4022/rtp/239.21.0.46:3524
CETV-4,http://192.168.0.220:4022/rtp/239.21.0.47:3528
CGTN.http://192.168.0.220:4022/rtp/239.20.0.186:2170
CGTN英语,http://192.168.0.220:4022/rtp/239.21.0.109:3776
CGTN西班牙语,http://192.168.0.220:4022/rtp/239.21.0.111:3800
CGTN法语,http://192.168.0.220:4022/rtp/239.21.0.112:3788
CGTN阿拉伯语,http://192.168.0.220:4022/rtp/239.21.0.113:3792
CGTN俄语,http://192.168.0.220:4022/rtp/239.21.0.114:3796

广东频道,#genre#
广东卫视,http://192.168.0.220:4022/rtp/239.20.0.99:3004
广东卫视,http://192.168.0.220:4022/rtp/239.20.0.101:2000
广东卫视,http://192.168.0.220:4022/rtp/239.20.0.131:2060
广东珠江,http://192.168.0.220:4022/rtp/239.20.0.111:2020
